CAZy Family,Glycoside Hydrolases,,,,,,,,GlycosylTransferases,,,,,,,,,Polysaccharide lyases,Carbohydrate Esterases,,,,,,,Auxilary Activities,,,,,,,,,Carbohydrate Binding Molecules,,,,,,,,,,,,
Retrieved incomplete EC number,1.14.99.-,2.4.1.-,2.4.2.-,2.4.99.-,3.1.1.-,3.2.1.-,4.2.2.n1,5.4.99.-,2.-.-.-,2.4.-.-,2.4.1.-,2.4.2.-,2.4.99.-,3.1.-.-,3.2.1.-,3.5.1.-,5.4.99.-,4.2.2.-,2.3.1.-,2.4.1.-,3.-.-.-,3.1.1.-,3.2.1.-,3.5.1.-,4.2.2.-,1.-.-.-,1.1.3.-,1.1.99.18,1.2.3.15,1.6.5.6,1.10.3.-,1.11.1.-,1.14.99.-,3.2.1.78,1.-.-.-,1.1.3.9,1.1.99.18,1.14.99.53,2.4.1.-,2.4.2.-,3.1.1.-,3.1.3.16,3.2.1.-,3.5.1.-,4.2.2.-,4.2.2.n1,
,,,,,,65,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,
,,,,,,67,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,
,,,,,,68,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,
,,,,,,70,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,
,,,,,,71,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,
,,,,,,73,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,
,,,,,,74,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,
,,,,,,75,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,
,,,,,,76,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,
,,,,,,78,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,
,,,,,,80,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,
,,,,,,81,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,
,,,,,,82,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,
,,,,,,83,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,
,,,,,,84,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,
,,,,,,85,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,
,,,,,,86,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,
,,,,,,88,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,
,,,,,,89,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,
,,,,,,91,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,
,,,,,,93,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,
,,,,,,94,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,95,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,96,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,97,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,99,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,100,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,101,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,102,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,103,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,104,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,105,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,106,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,107,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,108,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,109,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,111,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,113,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,114,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,116,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,117,,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,118,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,119,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,120,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,122,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,123,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,125,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,126,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,129,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,130,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,131,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,132,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,133,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,135,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,136,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,139,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,140,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,141,,,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,145,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,146,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,147,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,149,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,150,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,151,,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,152,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,153,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,154,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,155,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,156,,,,,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,157,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,158,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
